seqnames	start	end	1stKD	2ndKD	Ctrl
chr1	8427374	8427918	1	1	0
chr1	8439063	8439263	1	0	0
chr1	8525837	8526284	1	1	0
chr1	8703017	8703779	1	1	1
chr1	8712860	8713075	0	1	0
chr1	8817505	8818166	1	1	1
chr1	8859420	8859770	1	1	0
chr1	8871060	8871406	1	1	1
chr1	8878427	8879417	1	1	1
chr1	8938341	8938519	0	1	0
chr1	9067223	9067415	0	0	1
chr1	9069345	9070086	1	1	1
chr1	9078109	9078452	1	0	0
chr1	9128774	9129940	1	1	1
chr1	9143306	9143663	1	0	0
chr1	9164059	9164223	0	1	0
chr1	9182092	9182425	0	1	0
chr1	9234287	9235086	1	1	1
chr1	9239740	9239976	0	1	0
chr1	9275612	9275930	1	0	0
chr1	9290149	9290361	1	0	0
chr1	9292630	9293298	1	1	1
chr1	9410710	9411196	1	0	0
chr1	9426347	9426594	1	0	0
chr1	9428699	9429353	1	1	1
chr1	9539114	9540000	1	1	1
chr1	9588340	9589150	1	1	1
chr1	9593466	9593892	0	1	1
chr1	9626954	9627340	0	1	1
chr1	9629527	9629984	1	0	0
chr1	9652004	9652160	1	0	0
chr1	9654443	9654764	1	0	0
chr1	9689369	9689628	0	0	1
chr1	9718945	9719249	1	0	0
chr1	9823672	9824477	1	1	1
chr1	9900252	9900826	1	1	1
chr1	9909936	9911003	1	1	1
chr1	9943079	9943502	1	1	1
chr1	9951075	9951228	1	0	0
chr1	10032503	10033606	1	1	1
chr1	10074406	10074575	1	0	0
chr1	10208638	10208856	1	0	0
chr1	10210070	10210813	1	1	1
chr1	10377330	10377736	0	0	1
chr1	10378482	10378636	1	0	0
chr1	10388111	10388415	0	1	0
chr1	10398328	10399413	1	1	1
chr1	10400505	10400879	1	0	0
chr1	10415102	10415759	1	1	1
chr1	10430052	10431065	1	1	1
chr1	10472126	10472872	1	1	1
chr1	10474655	10475419	1	1	1
chr1	10484444	10485068	1	1	0
chr1	10494567	10495136	0	1	1
chr1	10510977	10511169	1	0	0
chr1	10514347	10514499	1	0	0
chr1	10635422	10636066	1	1	1
chr1	10646410	10646560	0	1	0
chr1	10679615	10679844	0	0	1
chr1	10694352	10695290	1	1	1
chr1	10783029	10783198	0	0	1
chr1	10830126	10830363	1	0	0
chr1	10867048	10867619	0	1	1
chr1	10898146	10898881	1	1	1
chr1	10904770	10905274	1	0	1
chr1	10905901	10906070	0	1	0
chr1	10932067	10932502	1	0	0
chr1	10940113	10940408	1	0	0
chr1	10960857	10961466	1	1	1
chr1	10965061	10965515	1	1	0
chr1	10965528	10966289	1	1	1
chr1	10986074	10986230	1	0	0
chr1	11011726	11013389	1	1	1
chr1	11031583	11031935	1	0	0
chr1	11037774	11038052	0	1	0
chr1	11059593	11060508	1	1	1
chr1	11099151	11100215	1	1	1
chr1	11262241	11262996	1	1	1
chr1	11272687	11273792	1	1	1
chr1	11362091	11362318	1	0	0
chr1	11383496	11384061	1	1	1
chr1	11563620	11563798	1	0	0
chr1	11642510	11642722	0	0	1
chr1	11650271	11650991	1	1	1
chr1	11663969	11664791	1	1	1
chr1	11670711	11671168	1	0	0
chr1	11680681	11681940	1	1	1
chr1	11693219	11693542	1	0	0
chr1	11719212	11720075	1	1	1
chr1	11730283	11730766	1	1	1
chr1	11735775	11736584	0	1	0
chr1	11736655	11737177	1	1	0
chr1	11749020	11749418	0	1	0
chr1	11790832	11791405	1	1	1
chr1	11803531	11803704	0	1	0
chr1	11805651	11806539	1	1	1
chr1	11815012	11815389	1	1	0
chr1	11838554	11838965	1	1	1
chr1	11851019	11851682	1	1	1
chr1	11908042	11910035	1	1	1
chr1	11925945	11926827	1	1	1
chr1	11934224	11935067	1	1	1
chr1	11960566	11961040	1	1	1
chr1	11979688	11980725	1	1	1
chr1	11985806	11986324	1	1	1
chr1	12019141	12020064	1	1	1
chr1	12020077	12020624	1	1	0
chr1	12049559	12049875	1	0	0
chr1	12133075	12133380	1	0	0
chr1	12143456	12144151	1	1	1
chr1	12150486	12150747	1	0	0
chr1	12153181	12153666	1	1	1
chr1	12157889	12158191	1	0	1
chr1	12161644	12162152	1	1	1
chr1	12166818	12167085	1	0	0
chr1	12173800	12173960	1	0	0
chr1	12178088	12178358	1	1	0
chr1	12184023	12184739	1	1	1
chr1	12196465	12197119	1	1	1
chr1	12208774	12209159	0	1	0
chr1	12229654	12230375	1	1	1
chr1	12344383	12344919	1	0	0
chr1	12376720	12377212	1	1	1
chr1	12416131	12416512	1	0	0
chr1	12434124	12434563	1	0	0
chr1	12449523	12449740	1	0	0
chr1	12474973	12475248	1	0	0
chr1	12510373	12511095	1	1	1
chr1	12525341	12525840	1	0	1
chr1	12566878	12567114	1	0	0
chr1	12588055	12588254	0	0	1
chr1	12596079	12596343	1	0	0
chr1	12604205	12604709	1	1	0
chr1	12618025	12618677	0	1	1
chr1	12619977	12620152	1	0	0
chr1	12709431	12709589	0	0	1
chr1	12760415	12760650	0	1	0
chr1	12760744	12760905	0	0	1
chr1	13623221	13623756	1	0	1
chr1	13642743	13643310	1	0	0
chr1	13664200	13664441	1	0	0
chr1	13674386	13674736	1	0	0
chr1	13699959	13700940	1	1	1
chr1	13723657	13724325	1	1	1
chr1	13730963	13731185	1	0	0
chr1	13748786	13750049	1	1	1
chr1	13782133	13782486	1	1	0
chr1	13811541	13811754	1	0	0
chr1	13960485	13960863	1	0	1
chr1	14660833	14661088	0	1	1
chr1	14715861	14716096	1	0	0
chr1	14724670	14724933	1	0	0
chr1	14733078	14733563	1	1	0
chr1	14742089	14742725	1	1	1
chr1	14755826	14756312	1	0	0
chr1	14761742	14761910	1	0	0
chr1	14773560	14773726	0	1	0
chr1	14780311	14780787	1	1	1
chr1	14810678	14811035	1	0	0
chr1	14826262	14826532	1	1	0
chr1	14915427	14915680	0	1	0
chr1	14923834	14924801	1	1	1
chr1	14969044	14969357	1	0	0
chr1	14970136	14970602	1	1	0
chr1	15001322	15001667	0	0	1
chr1	15016316	15016468	0	0	1
chr1	15027789	15027962	0	0	1
chr1	15083525	15084097	1	1	0
chr1	15128544	15128723	0	1	0
chr1	15152490	15153046	1	0	1
chr1	15153511	15153846	1	0	0
chr1	15231664	15232054	1	1	0
chr1	15258910	15259298	1	0	0
chr1	15261017	15261966	1	1	1
chr1	15345887	15346277	1	0	1
chr1	15352518	15352799	1	0	0
chr1	15362810	15363011	1	0	0
chr1	15409340	15410198	1	1	1
chr1	15411526	15411987	1	0	1
chr1	15415994	15416499	1	1	1
chr1	15434812	15435250	1	1	0
chr1	15455543	15455974	1	1	1
chr1	15464815	15465179	1	1	0
chr1	15523990	15525429	1	1	1
chr1	15526411	15527165	1	1	1
chr1	15584648	15585287	1	1	0
chr1	15603179	15604104	1	1	1
chr1	15616867	15617847	1	1	1
chr1	15674572	15675140	1	0	0
chr1	15678666	15678921	0	1	0
chr1	15682271	15682806	1	1	0
chr1	15684194	15684852	1	1	1
chr1	15684935	15685092	0	0	1
chr1	15696730	15697591	1	1	1
chr1	15829623	15829827	0	1	0
chr1	15834787	15835227	1	0	1
chr1	15835484	15836236	1	1	1
chr1	15836990	15837380	1	1	0
chr1	15847272	15848109	1	1	1
chr1	15848261	15848671	0	0	1
chr1	15886069	15886797	1	1	1
chr1	15949646	15949812	0	1	0
chr1	15975379	15976306	1	1	1
chr1	15986005	15986306	1	1	0
chr1	16012583	16013700	1	1	1
chr1	16032714	16033147	1	1	1
chr1	16055634	16055962	0	1	1
chr1	16056171	16056558	1	1	1
chr1	16078926	16079331	1	0	0
chr1	16122733	16123468	1	1	1
chr1	16154744	16155021	0	1	0
chr1	16164203	16164587	1	0	1
chr1	16172995	16173679	1	1	0
chr1	16183142	16183440	1	0	0
chr1	16206224	16207313	1	1	1
chr1	16217030	16217922	1	1	1
chr1	16236266	16237480	1	1	1
chr1	16278765	16278994	1	1	0
chr1	16302695	16303091	1	1	1
chr1	16351987	16352939	1	1	1
chr1	16364926	16365300	1	1	1
chr1	16366893	16367854	1	1	1
chr1	16420707	16420906	1	0	0
chr1	16440195	16441131	1	1	1
chr1	16498714	16499769	1	1	1
chr1	16501129	16501318	1	0	0
chr1	16509167	16509371	0	1	1
chr1	16513592	16514118	1	1	1
chr1	16540394	16540642	1	1	1
chr1	16540690	16540958	1	1	0
chr1	16605073	16605235	0	0	1
chr1	16613229	16613972	1	1	1
chr1	16621084	16621598	1	1	0
chr1	16624990	16625200	0	1	1
chr1	16643819	16644215	0	1	0
chr1	16644247	16645183	1	1	1
chr1	16651652	16651893	0	0	1
chr1	16677938	16678422	1	1	1
chr1	16727134	16727894	1	1	1
chr1	16895649	16895907	0	1	1
chr1	16896102	16896338	1	1	1
chr1	16896489	16896983	0	0	1
chr1	16904594	16905756	1	1	1
chr1	16913629	16914593	1	1	1
chr1	16951546	16952105	1	1	1
chr1	16960810	16960993	0	1	0
chr1	17011627	17012341	1	1	1
chr1	17013884	17014242	1	1	0
chr1	17023210	17023516	1	0	0
chr1	17053750	17054409	1	1	1
chr1	17059515	17059936	0	1	0
chr1	17060483	17060825	0	1	0
chr1	17066454	17067559	1	1	1
chr1	17075572	17075787	0	0	1
chr1	17119262	17119657	0	0	1
chr1	17141413	17142173	1	1	1
chr1	17494190	17494569	1	0	0
chr1	17502445	17502599	1	0	0
chr1	17540750	17540976	0	0	1
chr1	17565575	17565771	1	0	0
chr1	17581372	17581861	1	0	1
chr1	17629907	17630586	1	1	1
chr1	17635592	17636268	1	1	1
chr1	17640397	17640774	1	1	0
chr1	18041203	18041401	0	1	0
chr1	18597435	18597621	0	1	0
chr1	18871240	18871418	1	0	0
chr1	18884015	18884349	0	1	0
chr1	18902329	18903187	1	1	1
chr1	18907017	18907470	1	1	1
chr1	18912999	18913389	0	1	1
chr1	18926648	18927030	1	1	0
chr1	18956398	18957180	1	1	1
chr1	19010901	19011460	1	1	1
chr1	19081392	19082031	1	1	0
chr1	19123909	19124204	1	1	0
chr1	19129196	19129375	1	0	0
chr1	19209649	19210783	1	1	1
chr1	19241109	19241693	1	1	1
chr1	19251334	19252080	1	1	1
chr1	19311822	19312534	1	1	1
chr1	19315632	19315849	1	0	0
chr1	19318970	19319379	1	1	0
chr1	19325908	19326394	1	1	0
chr1	19338168	19338668	1	1	1
chr1	19347932	19348125	1	0	0
chr1	19435214	19435378	0	1	0
chr1	19448907	19449285	1	0	0
chr1	19469422	19469867	1	0	1
chr1	19476935	19477187	1	0	0
chr1	19477907	19478362	1	0	0
chr1	19485132	19486104	1	1	1
chr1	19505581	19506163	1	0	0
chr1	19508757	19509145	0	1	0
chr1	19511049	19511348	1	0	0
chr1	19580103	19580350	1	0	0
chr1	19596670	19597553	1	1	1
chr1	19659691	19660121	1	1	0
chr1	19704593	19704815	0	1	0
chr1	19715409	19716072	1	1	1
chr1	19799530	19800265	0	1	1
chr1	19800932	19801082	1	0	0
chr1	19882013	19882810	1	1	1
chr1	19955535	19956263	1	1	1
chr1	20047174	20047498	1	0	0
chr1	20081021	20081520	1	0	0
chr1	20101055	20101400	0	1	0
chr1	20152326	20152685	1	1	0
chr1	20153731	20154063	1	0	0
chr1	20165764	20166259	1	1	1
chr1	20171443	20171807	1	1	1
chr1	20174987	20175478	1	0	0
chr1	20179067	20179416	1	0	0
chr1	20213020	20213185	1	0	0
chr1	20223129	20223501	1	1	1
chr1	20255436	20256076	1	1	1
chr1	20380235	20381439	1	1	1
chr1	20493867	20494023	1	0	0
chr1	20507870	20508505	1	1	1
chr1	20522452	20522659	1	1	0
chr1	20575248	20575567	1	1	0
chr1	20587408	20587684	1	1	0
chr1	20590248	20590846	1	1	1
chr1	20633191	20634228	1	1	1
chr1	20634557	20634762	0	1	0
chr1	20661158	20661919	1	1	1
chr1	20666877	20667172	1	0	0
chr1	20678540	20679045	1	0	0
chr1	20685482	20685947	1	0	0
chr1	20686274	20686494	1	1	0
chr1	20696308	20697314	1	1	1
chr1	20711367	20712224	1	1	1
chr1	20717687	20718344	1	1	1
chr1	20733092	20733523	1	0	0
chr1	20786310	20787680	1	1	1
chr1	20837735	20838258	1	1	0
chr1	20851861	20852264	1	1	0
chr1	20932717	20933115	1	0	0
chr1	20964719	20965035	1	0	0
chr1	21022366	21022866	0	1	1
chr1	21051374	21051708	1	0	0
chr1	21077127	21077277	1	0	0
chr1	21091020	21091434	1	1	0
chr1	21100535	21100958	1	1	1
chr1	21165586	21165964	1	0	0
chr1	21176412	21177634	1	1	1
chr1	21261688	21262269	1	1	0
chr1	21270339	21270570	1	0	0
chr1	21290128	21290394	1	0	0
chr1	21313884	21314218	1	0	0
chr1	21334042	21334938	1	1	1
chr1	21345195	21345929	1	1	1
chr1	21550152	21550342	1	0	0
chr1	21552751	21553109	1	1	0
chr1	21607804	21608165	1	0	0
chr1	21659270	21659447	0	1	0
chr1	21696263	21696516	1	1	0
chr1	21706568	21706750	0	1	0
chr1	21760989	21761327	1	1	0
chr1	21768111	21768815	1	1	1
chr1	21782683	21783912	1	1	1
chr1	21788303	21788475	1	0	0
chr1	21798762	21799066	1	1	0
chr1	21815650	21816413	1	1	1
chr1	21852347	21852617	1	0	0
chr1	21857395	21857752	1	0	0
chr1	21857862	21858013	1	0	0
chr1	21865884	21866494	1	1	0
chr1	21882581	21883042	0	1	0
chr1	21916724	21916962	1	0	0
chr1	21937151	21937824	1	1	1
chr1	21939951	21940194	1	0	0
chr1	21964028	21964262	0	1	0
chr1	22018888	22019529	1	1	1
chr1	22024941	22026261	1	1	1
chr1	22039654	22040314	1	1	1
chr1	22052289	22053387	1	1	1
chr1	22075720	22076054	1	0	0
chr1	22099246	22099462	0	1	0
chr1	22451496	22452621	1	1	1
chr1	22619137	22619729	1	1	0
chr1	22636422	22636651	1	0	0
chr1	22636723	22636879	0	1	0
chr1	22662450	22662683	0	1	0
chr1	22704488	22704800	1	1	1
chr1	22710392	22711110	1	1	1
chr1	22735325	22735624	1	0	0
chr1	22745874	22746682	1	1	1
chr1	22763462	22763690	0	1	0
chr1	22976323	22976895	0	1	0
chr1	23011035	23011452	1	1	0
chr1	23019031	23020262	1	1	1
chr1	23100084	23100703	1	1	0
chr1	23167767	23167965	1	0	0
chr1	23168543	23169052	1	1	1
chr1	23169586	23170319	1	1	1
chr1	23177674	23177882	1	0	0
chr1	23188922	23189287	1	1	0
chr1	23282905	23283348	1	0	0
chr1	23343803	23344890	1	1	1
chr1	23368035	23369273	1	1	1
chr1	23378264	23378580	1	0	0
chr1	23402195	23402721	1	1	1
chr1	23404006	23404252	0	1	1
chr1	23484352	23484815	0	1	0
chr1	23497105	23497353	0	1	0
chr1	23528204	23528680	1	1	0
chr1	23531221	23531588	1	0	1
chr1	23533252	23533572	1	1	0
chr1	23539619	23540266	1	1	1
chr1	23554682	23555330	1	1	1
chr1	23559209	23559864	1	1	1
chr1	23567190	23567572	1	1	1
chr1	23577434	23577599	1	0	0
chr1	23585492	23585939	1	1	0
chr1	23594952	23595286	0	1	0
chr1	23637268	23637738	0	1	0
chr1	23637769	23637934	1	0	0
chr1	23691554	23692207	1	1	1
chr1	23720632	23720996	0	0	1
chr1	23727222	23727645	1	1	1
chr1	23742959	23744116	1	1	1
chr1	23751046	23751320	0	1	0
chr1	23772192	23772424	0	1	0
chr1	23778037	23778738	1	1	1
chr1	23790792	23791360	1	1	1
chr1	23800492	23801132	1	1	1
chr1	23809777	23809980	1	0	0
chr1	23810639	23811297	1	1	1
chr1	23825064	23825698	0	1	1
chr1	23825999	23826172	1	0	0
chr1	23838156	23839089	1	1	1
chr1	23867908	23868905	1	1	1
chr1	23897143	23897383	0	1	0
chr1	23907827	23908165	1	0	0
chr1	23908629	23909235	1	1	1
chr1	23916886	23917080	0	1	0
chr1	23958810	23960093	1	1	1
chr1	23979886	23980896	1	1	1
chr1	24010753	24010925	0	1	0
chr1	24149924	24150244	0	1	0
chr1	24150482	24150738	1	1	0
chr1	24173967	24174457	1	1	1
chr1	24190089	24190683	1	1	1
chr1	24190928	24191273	1	1	0
chr1	24197965	24198119	0	1	0
chr1	24199318	24199487	0	0	1
chr1	24199601	24199788	0	0	1
chr1	24322277	24322451	1	0	0
chr1	24364879	24365594	1	1	1
chr1	24392195	24392348	0	1	0
chr1	24392377	24392616	0	1	0
chr1	24413312	24414005	1	1	1
chr1	24415445	24415891	1	1	1
chr1	24419232	24419593	1	1	0
chr1	24466646	24467060	1	1	0
chr1	24481086	24481477	1	1	1
chr1	24502257	24503224	1	1	1
chr1	24515620	24515805	0	0	1
chr1	24642614	24643561	1	1	1
chr1	24688619	24688851	0	1	0
chr1	24705268	24705765	1	1	1
chr1	24708948	24709259	1	0	0
chr1	24715130	24715280	0	0	1
chr1	24727456	24727979	1	1	1
chr1	24733263	24733659	1	1	1
chr1	24735427	24735577	0	0	1
chr1	24744858	24745660	1	1	1
chr1	24745672	24746087	1	0	1
chr1	24762296	24762822	1	1	1
chr1	24847772	24848926	1	1	1
chr1	24872412	24873115	1	1	1
chr1	24898159	24898549	0	0	1
chr1	24909527	24909985	1	1	0
chr1	24911034	24911617	1	1	1
chr1	24929823	24930689	1	1	1
chr1	24955052	24955644	1	1	1
chr1	24964919	24965705	1	1	1
chr1	24995131	24995281	0	0	1
chr1	25022309	25023361	1	1	1
chr1	25030848	25031121	1	0	0
chr1	25033801	25034308	1	0	0
chr1	25080418	25081020	1	1	1
chr1	25099395	25099603	1	0	0
chr1	25101454	25101916	1	1	1
chr1	25104283	25104444	1	0	0
chr1	25128341	25128537	1	0	0
chr1	25131707	25132135	1	0	1
chr1	25140003	25140846	1	1	1
chr1	25148825	25148991	0	1	0
chr1	25209560	25209751	1	0	0
chr1	25232204	25232899	1	1	1
chr1	25233046	25233515	1	1	0
chr1	25239659	25240415	1	1	1
chr1	25246890	25248109	1	1	1
chr1	25267929	25268261	1	1	1
chr1	25338243	25339014	1	1	1
chr1	25425340	25425682	1	0	0
chr1	25429925	25431347	1	1	1
chr1	25543254	25544096	1	1	1
chr1	25549406	25550303	1	1	1
chr1	25556773	25557015	1	0	1
chr1	25572848	25573043	0	0	1
chr1	25608520	25608855	1	0	0
chr1	25609913	25610349	1	1	0
chr1	25616191	25617050	1	1	1
chr1	25642709	25643096	1	0	0
chr1	25690052	25690333	1	0	0
chr1	25711679	25711830	1	0	0
chr1	25730691	25731018	1	0	0
chr1	25799920	25800471	0	1	1
chr1	25819591	25820277	1	1	1
chr1	25820536	25821134	1	1	1
chr1	25858679	25860047	1	1	1
chr1	25875413	25876031	1	1	1
chr1	25895374	25895717	0	1	1
chr1	25905399	25906838	1	1	1
chr1	25922766	25923382	1	0	1
chr1	25933681	25933851	0	1	0
chr1	25971326	25971823	1	0	0
chr1	25996923	25997394	1	1	0
chr1	25997668	25998626	1	1	1
chr1	26015406	26015769	0	1	0
chr1	26027824	26028017	0	1	0
chr1	26035157	26036234	1	1	1
chr1	26110814	26112284	1	1	1
chr1	26126467	26126943	1	1	1
chr1	26145221	26145456	0	0	1
chr1	26161688	26161900	1	0	0
chr1	26169514	26170380	1	1	1
chr1	26201200	26201606	0	0	1
chr1	26233666	26234496	1	1	1
chr1	26274657	26275093	1	1	0
chr1	26276291	26276537	1	0	0
chr1	26279022	26279201	0	1	0
chr1	26279703	26280261	1	1	1
chr1	26284733	26285223	1	1	1
chr1	26289086	26289588	1	1	1
chr1	26306354	26307261	1	1	1
chr1	26315185	26315782	1	1	1
chr1	26321402	26321765	1	0	0
chr1	26336198	26336588	0	1	0
chr1	26336703	26336885	0	0	1
chr1	26359154	26359315	1	0	0
chr1	26378002	26378759	1	1	1
chr1	26385495	26386049	1	1	1
chr1	26417107	26417332	0	0	1
chr1	26431750	26432669	1	1	1
chr1	26471944	26473329	1	1	1
chr1	26477880	26478117	1	1	0
chr1	26500045	26501513	1	1	1
chr1	26692286	26692678	1	1	1
chr1	26692930	26693325	1	1	0
chr1	26695429	26696115	1	1	1
chr1	26743974	26744616	1	1	1
chr1	26787585	26788452	1	1	1
chr1	26814473	26814669	0	1	0
chr1	26820559	26821257	1	1	1
chr1	26826432	26827089	1	1	1
chr1	26828608	26828870	1	0	0
chr1	26864732	26865600	1	1	1
chr1	26878019	26878223	0	0	1
chr1	26889973	26890643	1	1	0
chr1	26899966	26900745	1	1	1
chr1	26921217	26922169	1	1	1
chr1	26932531	26932867	1	0	1
chr1	26993604	26993977	1	0	1
chr1	27001717	27002374	1	1	1
chr1	27012668	27013384	1	1	1
chr1	27027186	27027497	0	1	0
chr1	27067520	27068058	1	1	1
chr1	27074166	27074426	0	0	1
chr1	27097472	27097947	1	1	0
chr1	27099586	27099805	1	0	0
chr1	27111800	27112594	1	1	1
chr1	27116534	27117195	1	1	1
chr1	27137078	27137478	1	1	0
chr1	27154812	27155720	1	1	1
chr1	27161766	27162136	0	1	0
chr1	27197971	27198185	0	0	1
chr1	27234019	27234865	1	1	1
chr1	27275764	27275980	1	0	0
chr1	27284814	27284973	0	0	1
chr1	27300335	27301113	0	1	1
chr1	27321893	27322693	1	1	1
chr1	27341522	27342129	1	1	1
chr1	27343042	27343611	1	1	0
chr1	27357518	27357969	0	0	1
chr1	27365303	27365473	0	1	0
chr1	27366110	27366647	1	1	1
chr1	27392167	27392967	1	1	1
chr1	27395375	27395684	0	1	0
chr1	27402412	27402601	1	0	0
chr1	27418373	27418718	0	1	0
chr1	27435835	27436378	1	1	1
chr1	27489685	27490705	1	1	1
chr1	27525343	27526127	1	1	1
chr1	27557041	27557942	1	1	1
chr1	27568276	27569024	1	1	1
chr1	27603820	27604513	1	1	1
chr1	27608497	27608654	1	0	0
chr1	27618377	27618766	0	1	0
chr1	27626016	27626696	1	1	1
chr1	27631389	27632141	1	1	1
chr1	27643974	27644192	1	0	0
chr1	27650552	27650917	0	1	0
chr1	27659733	27660446	1	0	1
chr1	27663194	27663621	1	1	0
chr1	27671976	27672743	1	1	1
chr1	27725378	27726501	1	1	1
chr1	27772843	27773768	1	1	1
chr1	27830392	27831350	1	1	1
chr1	27857917	27858579	1	1	1
chr1	27863040	27863606	1	1	1
chr1	27869345	27869534	0	0	1
chr1	27885096	27885412	1	0	0
chr1	27885467	27886245	1	1	1
chr1	27887229	27887565	1	0	0
chr1	27891525	27891864	1	1	1
chr1	27904428	27904908	1	1	0
chr1	27914231	27915105	1	1	1
chr1	27931773	27932131	1	1	0
chr1	27943265	27943768	1	1	1
chr1	27944131	27944301	0	1	0
chr1	27959490	27960433	1	1	1
chr1	27979693	27979995	1	1	0
chr1	27994193	27994390	0	1	0
chr1	28021383	28021741	0	1	0
chr1	28059273	28059423	0	1	0
chr1	28088142	28089064	1	1	1
chr1	28104975	28105513	0	1	1
chr1	28111197	28111537	1	1	1
chr1	28115259	28115692	1	1	1
chr1	28123381	28123923	0	1	1
chr1	28127657	28127963	1	1	0
chr1	28135437	28135911	0	1	0
chr1	28172535	28173123	1	1	1
chr1	28232741	28233146	1	0	1
chr1	28235828	28236361	1	1	1
chr1	28241900	28242125	1	0	0
chr1	28247105	28247657	1	1	1
chr1	28259109	28259836	1	1	1
chr1	28284987	28285182	1	1	0
chr1	28295239	28295446	0	1	0
chr1	28307744	28308002	1	0	0
chr1	28315259	28315551	0	0	1
